Platform,Rank,Title,Release Date,Rating,Score,Description,Link,Image URL
PS5,11,Final Fantasy VII Rebirth,29-Feb-24,Rated T,92,"FINAL FANTASY VII REBIRTH is the  new story in the FINAL FANTASY VII remake project, a reimagining of the iconic original game into three standalone titles by its original creators. In this game, players will enjoy various new elements as the story unfolds, culminating in the party’s journey to “The Forgotten Capital” from the original FINAL FANTASY VII. Cloud and his comrades escape the city of Midgar in pursuit of the fallen hero, Sephiroth. As they travel across the world, they find themselves on a journey that will decide the fate of the planet. In this standalone adventure for fans and newcomers, Cloud and his comrades venture across the planet, their fates unwritten, making each step outside the dystopian city of Midgar fresh and mysterious. [Square Enix]",https://www.metacritic.com/game/final-fantasy-vii-rebirth/,
PS5,12,Forza Horizon 5,29-Apr-25,,92,"Your Ultimate Horizon Adventure awaits! Explore the vibrant and ever-evolving open world landscapes of Mexico with limitless, fun driving action in hundreds of the world’s greatest cars.",https://www.metacritic.com/game/forza-horizon-5/,
PS5,13,Clair Obscur: Expedition 33,24-Apr-25,Rated M,92,"Once a year, the Paintress wakes and paints upon her monolith. Paints her cursed number. And everyone of that age turns to smoke and fades away. Year by year, that number ticks down and more of us are erased. Tomorrow she’ll wake and paint “33.” And tomorrow we depart on our final mission - Destroy the Paintress, so she can never paint death again. We are Expedition 33. Clair Obscur: Expedition 33 is a turn-based RPG with unique real-time mechanics, making battles more immersive and addictive than ever. Explore a fantasy world inspired by Belle Époque France in which you battle devastating enemies. In this evolution of JRPGs, real-time actions enhance the heart of turn-based combat. Craft unique builds for your Expeditioners that fit your playstyle via gear, stats, skills, and character synergies. Open an active dimension in combat - dodge, parry, and counter in real time, chain combos by mastering attack rhythms, and target enemy weak points using a free aim system. With only one year left to live, join Gustave, Maelle, and their fellow Expeditioners as they embark upon a desperate quest to break the Paintress’ cycle of death. Follow the trail of previous expeditions and discover their fate. Get to know the members of Expedition 33 as they learn to work together against impossible odds. Explore an enchanting realm populated by surreal adversaries. Wander through breathtaking landscapes, from the Island of Visages to the Forgotten Battlefield, discovering secrets and hidden quests along the way. Find allies of fortune in creatures of legend. Recruit special companions to access new travel methods and discover secret areas in the World Map.",https://www.metacritic.com/game/clair-obscur-expedition-33/,
PS5,14,Demon's Souls,11-Nov-20,Rated M,92,"From PlayStation Studios and Bluepoint Games comes a remake of the PlayStation classic, Demon’s Souls. Entirely rebuilt from the ground up and masterfully enhanced, this remake introduces the horrors of a fog-laden, dark fantasy land to a whole new generation of gamers. Those who’ve faced its trials and tribulations before, can once again challenge the darkness in stunning visual quality and incredible performance. In his quest for power, the 12th King of Boletaria, King Allant channelled the ancient Soul Arts, awakening a demon from the dawn of time itself, The Old One. With the summoning of The Old One, a colorless fog swept across the land, unleashing nightmarish creatures that hungered for human souls. Those whose souls were stripped from them, lost their minds – left only with the desire to attack the sane that remained. Now, Boletaria is cut off from the outside world, and the knights who dare penetrate the deep fog to free the land from its plight, are never seen again. As a lone warrior who has braved the baneful fog, you must face the hardest of challenges to earn the title “Slayer of Demons” and send The Old One back to its slumber.",https://www.metacritic.com/game/demons-souls/,
PS5,15,Street Fighter 6,2-Jun-23,Rated T,92,"Powered by Capcom’s proprietary RE ENGINE, the Street Fighter 6 experience spans across three distinct game modes featuring World Tour, Fighting Ground and Battle Hub. Diverse Roster of 18 Fighters. Play legendary masters and new fan favorites like Ryu, Chun-Li, Luke, Jamie, Kimberly and more in this latest edition with each character featuring striking new redesigns and exhilarating cinematic specials. Street Fighter 6 offers a highly evolved combat system with three control types - Classic, Modern and Dynamic - allowing you to quickly play to your skill level. The new Real Time Commentary Feature adds all the hype of a competitive match as well as easy-to-understand explanations about your gameplay. The Drive Gauge is a new system to manage your resources. Use it wisely in order to claim victory.",https://www.metacritic.com/game/street-fighter-6/,
PS5,16,Slay The Princess - The Pristine Cut,24-Oct-24,Rated M,91,"You're on a path in the woods, and at the end of that path is a cabin. And in the basement of that cabin is a Princess.

You're here to slay her. If you don't, it will be the end of the world.

She will do everything in her power to stop you. She'll charm, and she'll lie, and she'll promise you the world, and if you let her, she'll kill you a dozen times over. You can't let that happen.

You do care about the fate of the world, right?

Slay the Princess - The Pristine Cut is a fully voice-acted horror tragicomedy featuring the impeccable talents of Jonathan Sims and Nichole Goodnight, with lovingly hand-penciled frames by Ignatz-winning graphic novelist Abby Howard.

This game features a princess. She's very bad and you have to get rid of her for all our sakes. She's just an ordinary human Princess, and you can definitely slay her as long as you put your mind to it. Hopefully you won't die. But if you do, you'll die a lot. Be careful and stay focused on the task at hand! What you say and what you believe will shift the story in dramatic ways.

Ah, but what’s in the Pristine Cut? Are you sure you want to find out? If you do, you’re likely to discover things that are best left experienced directly. Seriously, turn back.

…

Oh, you’re still reading? Very well, I shall tell you. The Pristine Cut contains, precisely:

- 3 brand new chapters replete with mysteries—and consequences.
- Never before seen Princesses who will all murder you without a second thought.
- Expansions to familiar routes: The Den, The Apotheosis and The Fury each have more than doubled in length.
- Over 35% more content overall—and all of it filled with great opportunities to listen to me and do your job.
- A new ending. And hopefully one that saves the world rather than damns it.
- Gallery to Track Your Progress: Cherish your memories, relive your exploits, and uncover deeply hidden secrets with the new gallery feature.
- Over 1,200 New Hand-Penciled Frames hand-illustrated by Abby Howard.
- Over 2,500 New Lines of Dialogue fully voiced dialogue by the impeccable Jonathan Sims and Nichole Goodnight.",https://www.metacritic.com/game/slay-the-princess-the-pristine-cut/,
PS5,17,Split Fiction,6-Mar-25,Rated T,91,"Embrace mind-blowing moments as you’re pulled deep into the many worlds of Split Fiction, a boundary-pushing co-op action adventure from the studio behind 2021 Game of the Year Winner, It Takes Two. Mio and Zoe are contrasting writers – one writes sci-fi and the other writes fantasy – who become trapped in their own stories after being hooked up to a machine designed to steal their creative ideas. They’ll have to rely on each other to break free with their memories in-tact, working together to master a variety of abilities and overcome diverse challenges while jumping between sci-fi and fantasy worlds in this unexpected tale of friendship. Split Fiction is a unique action-adventure experience that keeps you on the edge of your couch with unexpected moments. One minute you’re taming adorable dragons and the next you’re fighting as cyber ninjas, escaping terrifying trolls, or dodging hover cars thrown by a robotic parking attendant. It’s weird, it’s wild, and it’s designed to be shared. Grab your co-op partner and get ready to overcome any obstacle thrown your way.",https://www.metacritic.com/game/split-fiction/,
PS5,18,Persona 5 Royal,21-Oct-22,Rated M,91,"Prepare for an all-new RPG experience in Persona 5 Royal based in the universe of the award-winning series, Persona! Don the mask of Joker and join the Phantom Thieves of Hearts. Break free from the chains of modern society and stage grand heists to infiltrate the minds of the corrupt and make them change their ways! Persona 5 Royal is packed with new characters, confidants, story depth, new locations to explore, and a new grappling hook mechanic for stealthy access to new areas. With a new semester at Shujin Academy, get ready to strengthen your abilities in the metaverse and in your daily life. Persona 5 Royal presents a unique visual style and award nominated composer Shoji Meguro returns with an all-new soundtrack. Explore Tokyo, unlock new Personas, customize your own personal Thieves Den, discover a never-before-seen story arc, cutscenes, alternate endings, and more! Even for the most seasoned Phantom Thieves among us, Persona 5 Royal is a new challenge to defy conventions, discover the power within, and fight for justice. Wear the mask. Reveal your truth.",https://www.metacritic.com/game/persona-5-royal/,
PS5,19,DAVE THE DIVER,16-Apr-24,Rated E10+,91,"Welcome to 'DAVE THE DIVER', a marine adventure set in the mysterious Blue Hole. 

Explore the sea with Dave by day, and run a sushi restaurant at night. Uncover the secrets of the Blue Hole, and unwrap this deep sea mystery involving 3 friends, each with distinct personalities.",https://www.metacritic.com/game/dave-the-diver/,
PS5,20,Rogue Legacy 2,20-Jun-23,Rated E10+,90,"Rogue Legacy is back! But now it's got a 2 on the end of it!

Rogue Legacy 2 is a genealogical rogue-LITE. That means it has all the trappings of a typical rogue-like (randomized runs, changing characters, and more), but with persistent upgrades, and persistent dead heirs.

In this game, your legacy defines you. Spend your parents' inheritance and grow the family manor to give your children a better fighting chance. Each child is unique, with their own traits and abilities. Your daughter could be a Ranger. She could also be vegan. It's a new experience every time.

Rogue Legacy 2 also lets you play how you want to. Go hard and fast, and dive deeper into the depths of a randomly-generated world. Or take it slow and steady and build your character up until you're ready for greater challenges.",https://www.metacritic.com/game/rogue-legacy-2/,
PS5,21,Citizen Sleeper 2: Starward Vector,31-Jan-25,Rated T,90,"You are a Sleeper, a corporate-owned android hiding out in the Starward Belt at the edge of the Helion System. After a desperate attempt to free yourself from servitude by rewriting the very code that governs your system, you are on the run with a malfunctioning body, a price on your head and no memory of your past.

You stole a ship and left the past behind. Keep it running, maintain it, even upgrade it, and maybe it will carry you away from all this. But you can't run it alone. You'll need a crew, and while the Belt is full of those looking for work, it's also full of trouble. 

Can you hold the ship together through this crisis? Can you build a refuge here, among the stars?",https://www.metacritic.com/game/citizen-sleeper-2-starward-vector/,
PS5,22,Marvel's Spider-Man 2,20-Oct-23,Rated T,90,"Spider-Men, Peter Parker and Miles Morales, return for an exciting new adventure in Marvel’s Spider-Man franchise for PS5. Swing, jump and utilize the new Web Wings to travel across Marvel’s New York, quickly switching between Peter Parker and Miles Morales to experience different stories and epic new powers, as the iconic villain Venom threatens to destroy their lives, their city and the ones they love. The incredible power of the symbiote forces Peter and Miles to face the ultimate test of strength, both inside and outside the mask, as they balance their lives, friendships and their duty to protect those in need. Quickly swap between both Spider-Men as you explore an expanded Marvel’s New York. Fight against a variety of new and iconic villains, including an original take on the monstrous Venom, the ruthless Kraven the Hunter, the volatile Lizard and many more. Explore a larger Marvel’s New York than ever before, featuring two new boroughs – Brooklyn and Queens – as well as locations like Coney Island and more.",https://www.metacritic.com/game/marvels-spider-man-2/,
PS5,23,Destiny 2: The Final Shape,4-Jun-24,Rated T,90,"In Destiny 2: The Final Shape, Guardians confront oblivion in the form of their ultimate adversary –The Witness – alongside their iconic Vanguard companions: Ikora Rey, Commander Zavala, and the mysteriously returned Cayde-6. Players embark on a perilous journey of remembrance and discovery into the heart of the Traveler, rally the Vanguard, and end the War of Light and Darkness. The story of this final confrontation is told throughout the course of The Final Shape’s campaign, as well as in the new raid that launches in March 2024.",https://www.metacritic.com/game/destiny-2-the-final-shape/,
PS5,24,Cocoon,29-Sep-23,Rated E,90,"From Jeppe Carlsen, the lead gameplay designer of LIMBO and INSIDE - COCOON takes you on an adventure across worlds within worlds. Master world-leaping mechanics to unravel a cosmic mystery.

COCOON is a unique take on the puzzle adventure genre, where each world exists within an orb that you can carry on your back. Wrap your head around the core mechanic of leaping between worlds - and combine, manipulate, and rearrange them to solve intricate puzzles

Interact with alien environments and biomechanical devices left behind by an ancient civilization. Journey through unique and diverse biomes, from industrial structures to massive organic caverns, and discover how they are connected to one another.",https://www.metacritic.com/game/cocoon/,
Xbox,1,Baldur's Gate 3,8-Dec-23,Rated M,99,"An ancient evil has returned to Baldur's Gate, intent on devouring it from the inside out. The fate of Faerun lies in your hands. Alone, you may resist. But together, you can overcome. Gather your party and return to the Forgotten Realms in a tale of fellowship and betrayal, sacrifice and survival, and the lure of absolute power. Mysterious abilities are awakening inside you, drawn from a mind flayer parasite planted in your brain. Resist, and turn darkness against itself. Or embrace corruption, and become ultimate evil.",https://www.metacritic.com/game/baldurs-gate-3/,https://raw.githubusercontent.com/sayheyakanksha/elden-ring-data-story-tableau/refs/heads/main/game-images/Baldur's_Gate_3_cover_art.jpg
Xbox,2,Elden Ring,25-Feb-22,Rated M,96,"A New World Created By Hidetaka Miyazaki And George R. R. Martin. ELDEN RING, developed by FromSoftware, Inc. and BANDAI NAMCO Entertainment Inc., is a fantasy action-RPG adventure set within a world created by Hidetaka Miyazaki creator of the influential DARK SOULS video game series; and George R.R. Martin author of The New York Times best-selling fantasy series, A Song of Ice and Fire. Danger and discovery lurk around every corner in FromSoftware's largest game to-date.  Hidetaka Miyazaki, President and Game Director of FromSoftware Inc. Known for directing critically-acclaimed games in beloved franchises including Armored Core, Dark Souls, and Sekiro: Shadows Die Twice.  George R.R. Martin is the #1 New York Times bestselling author of many novels, including the acclaimed series A Song of Ice and Fire - A Game of Thrones, A Clash of Kings, A Storm of Swords, A Feast For Crows, and A Dance with Dragons. As a writer-producer, he has worked on The Twilight Zone, Beauty and the Beast, and various feature films and pilots that were never made.",https://www.metacritic.com/game/elden-ring/,https://github.com/sayheyakanksha/elden-ring-data-story-tableau/blob/main/game-images/Elden_Ring_Box_art.jpg?raw=true
Xbox,3,Elden Ring: Shadow of the Erdtree,21-Jun-24,Rated M,95,"Rise, Tarnished, and let us walk a new path together.

An upcoming expansion for ELDEN RING, Shadow of the Erdtree, is currently in development.

We hope you look forward to new adventures in the Lands Between.",https://www.metacritic.com/game/elden-ring-shadow-of-the-erdtree/,https://github.com/sayheyakanksha/elden-ring-data-story-tableau/blob/main/game-images/elden-ring-shadow-of-the-erdtree-tag-page-cover-art.jpg?raw=true
Xbox,4,Persona 5 Royal,21-Oct-22,Rated M,94,"Prepare for an all-new RPG experience in Persona 5 Royal based in the universe of the award-winning series, Persona! Don the mask of Joker and join the Phantom Thieves of Hearts. Break free from the chains of modern society and stage grand heists to infiltrate the minds of the corrupt and make them change their ways! Persona 5 Royal is packed with new characters, confidants, story depth, new locations to explore, and a new grappling hook mechanic for stealthy access to new areas. With a new semester at Shujin Academy, get ready to strengthen your abilities in the metaverse and in your daily life. Persona 5 Royal presents a unique visual style and award nominated composer Shoji Meguro returns with an all-new soundtrack. Explore Tokyo, unlock new Personas, customize your own personal Thieves Den, discover a never-before-seen story arc, cutscenes, alternate endings, and more! Even for the most seasoned Phantom Thieves among us, Persona 5 Royal is a new challenge to defy conventions, discover the power within, and fight for justice. Wear the mask. Reveal your truth.",https://www.metacritic.com/game/persona-5-royal/,https://github.com/sayheyakanksha/elden-ring-data-story-tableau/blob/main/game-images/Persona_5_cover_art.jpg?raw=true
Xbox,5,The Witcher 3: Wild Hunt - Complete Edition,26-Jan-23,Rated M,94,"The Complete Edition includes The Witcher 3: Wild Hunt, all 16 DLC packs, and two Expansion Packs: Hearts of Stone & Blood and Wine.",https://www.metacritic.com/game/the-witcher-3-wild-hunt-complete-edition/,https://github.com/sayheyakanksha/elden-ring-data-story-tableau/blob/main/game-images/Witcher_3_cover_art.jpg?raw=true
Xbox,6,Clair Obscur: Expedition 33,24-Apr-25,Rated M,93,"Once a year, the Paintress wakes and paints upon her monolith. Paints her cursed number. And everyone of that age turns to smoke and fades away. Year by year, that number ticks down and more of us are erased. Tomorrow she’ll wake and paint “33.” And tomorrow we depart on our final mission - Destroy the Paintress, so she can never paint death again. We are Expedition 33. Clair Obscur: Expedition 33 is a turn-based RPG with unique real-time mechanics, making battles more immersive and addictive than ever. Explore a fantasy world inspired by Belle Époque France in which you battle devastating enemies. In this evolution of JRPGs, real-time actions enhance the heart of turn-based combat. Craft unique builds for your Expeditioners that fit your playstyle via gear, stats, skills, and character synergies. Open an active dimension in combat - dodge, parry, and counter in real time, chain combos by mastering attack rhythms, and target enemy weak points using a free aim system. With only one year left to live, join Gustave, Maelle, and their fellow Expeditioners as they embark upon a desperate quest to break the Paintress’ cycle of death. Follow the trail of previous expeditions and discover their fate. Get to know the members of Expedition 33 as they learn to work together against impossible odds. Explore an enchanting realm populated by surreal adversaries. Wander through breathtaking landscapes, from the Island of Visages to the Forgotten Battlefield, discovering secrets and hidden quests along the way. Find allies of fortune in creatures of legend. Recruit special companions to access new travel methods and discover secret areas in the World Map.",https://www.metacritic.com/game/clair-obscur-expedition-33/,https://www.metacritic.com/a/img/resize/d10f11e4467beb5d7d1c96afec5365e1c39a0789/catalog/provider/7/2/7-1743138109.jpg?auto=webp&fit=cover&height=132&width=88
